
"Machine Code", "Machine Title", "Total Run", "Total Run (Top)", "Total Run (Bot)", "Total Amount Received", "Total Wechat Received", "Total Coin Received", "No of Cold Run", "No of Warm Run", "No of Hot Run", "Actual Total Run Time", "Actual Total Run Time (Top)", "Actual Total Run Time (Bot)", "Expected Total Run Time" 
"6786f3831d7a750bac397d8967b81044","",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_12","",9,"NA","NA",72,0,72,0,9,0,9,"NA","NA",18
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",13,"NA","NA",32,0,32,"NA","NA","NA",6,"NA","NA",64
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",13,"NA","NA",32,0,32,"NA","NA","NA",6,"NA","NA",64
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044","",10,"NA","NA",80,0,80,0,10,0,10,"NA","NA",20
"6786f3831d7a750bac397d8967b81044_12","",10,"NA","NA",80,0,80,0,10,0,10,"NA","NA",20
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",20,"NA","NA",50,0,50,"NA","NA","NA",10,"NA","NA",100
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",20,"NA","NA",50,0,50,"NA","NA","NA",10,"NA","NA",100
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044","",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_12","",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",8,4,75,0,35,"NA","NA","NA","NA",8,8,150
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044","",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_12","",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",12,6,111,0,55,"NA","NA","NA","NA",12,14,222
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044","",8,"NA","NA",64,0,64,0,8,0,8,"NA","NA",16
"6786f3831d7a750bac397d8967b81044_12","",8,"NA","NA",64,0,64,0,8,0,8,"NA","NA",16
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",13,"NA","NA",32,0,32,"NA","NA","NA",6,"NA","NA",64
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",10,5,68,0,68,"NA","NA","NA","NA",10,11,136
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044","",10,"NA","NA",80,0,80,0,10,0,10,"NA","NA",20
"6786f3831d7a750bac397d8967b81044_12","",10,"NA","NA",80,0,80,0,10,0,10,"NA","NA",20
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",20,"NA","NA",50,0,50,"NA","NA","NA",10,"NA","NA",100
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",16,8,107,0,107,"NA","NA","NA","NA",16,20,214
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"51a677a2156e87fe4d5c3843cc926839","ipsoDryer",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"c08a50833ee1a977cea0f4dc2d2da336","ipsoWasher",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"51a677a2156e87fe4d5c3843cc926839","ipsoDryer",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"c08a50833ee1a977cea0f4dc2d2da336","ipsoWasher",0,"NA","NA",0,0,0,0,0,0,0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"51a677a2156e87fe4d5c3843cc926839","ipsoDryer",4,"NA","NA",11,0,11,0,0,0,884,"NA","NA",8
"c08a50833ee1a977cea0f4dc2d2da336","ipsoWasher",1,"NA","NA",11,0,11,0,0,0,28,"NA","NA",2
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"51a677a2156e87fe4d5c3843cc926839","ipsoDryer",21,"NA","NA",53,13,40,1,0,1,2329,"NA","NA",42
"c08a50833ee1a977cea0f4dc2d2da336","ipsoWasher",7,"NA","NA",84,18,66,0,0,0,172,"NA","NA",14
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"51a677a2156e87fe4d5c3843cc926839","ipsoDryer",29,"NA","NA",69,13,56,2,0,1,3673,"NA","NA",58
"c08a50833ee1a977cea0f4dc2d2da336","ipsoWasher",11,"NA","NA",130,18,112,0,0,0,284,"NA","NA",22
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"51a677a2156e87fe4d5c3843cc926839","ipsoDryer",45,"NA","NA",126,13,113,2,2,1,4739,"NA","NA",90
"c08a50833ee1a977cea0f4dc2d2da336","ipsoWasher",15,"NA","NA",180,18,162,0,0,0,398,"NA","NA",30
"6786f3831d7a750bac397d8967b81044_11","ipso_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"6786f3831d7a750bac397d8967b81044_10","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
"6786f3831d7a750bac397d8967b81044_13","dex_dryer",0,"NA","NA",0,0,0,"NA","NA","NA",0,"NA","NA",0
"b697edf35473d4824127003363cad73d","dex_dryer_double","NA",0,0,0,0,0,"NA","NA","NA","NA",0,0,0
